phylum	cds	rpkm	cds_relative	rpkm_relative
Abditibacteriota	70	2.965	3.390966194779811e-4	1.0612119715251886e-4
Acidobacteria	73196	3975.2801	0.3545788022758615	0.14228043279210284
Actinobacteria	394004	28048.2562	1.9086489208686066	1.0038834826254839
Annelida	4741	577.9372	0.022966529613501548	0.020685122274190462
Apicomplexa	101	13.3763	4.892679795325156e-4	4.787551330425761e-4
Aquificae	370	24.9423	0.0017923678458121857	8.927172801812045e-4
Armatimonadetes	9828	575.9589	0.04760916537470855	0.02061431635030283
Arthropoda	5461	1113.8164	0.02645438055670364	0.039864934157203644
Artverviricota	4	9.053	1.9376949684456064e-5	3.240186164660214e-4
Ascomycota	1301	691.7335	0.006302352884869335	0.024758039504385133
Bacillariophyta	174954	11959.0672	0.8475187137735815	0.42803053223993986
Bacteroidetes	1084784	64827.9356	5.254951246625747	2.320275930792039
Balneolaeota	5672	304.3866	0.027476514652558695	0.01089439136228833
Basidiomycota	939	202.1638	0.004548738938426061	0.007235704713963708
Blastocladiomycota	21	1.4367	1.0172898584339433e-4	5.14213571497551e-5
Brachiopoda	1184	165.8653	0.005735577106598994	0.0059365343008639755
Bryozoa	1	0.0511	4.844237421114016e-6	1.828935303370561e-6
Caldiserica	37	2.335	1.7923678458121856e-4	8.357267971370372e-5
Calditrichaeota	4228	218.1275	0.020481435816470057	0.007807066250214522
candidate division CPR1	31	1.7372	1.501713600545345e-4	6.217664205509469e-5
candidate division CPR2	53	3.4827	2.567445833190428e-4	1.246503518796214e-4
candidate division CPR3	39	1.8760999999999999	1.8892525942344662e-4	6.71480532808906e-5
candidate division KD3-62	123	5.713	5.958412027970239e-4	2.044756827427792e-4
candidate division NC10	1287	66.8177	0.006234533560973739	0.002391492180430981
candidate division WOR-3	771	39.911	0.003734907051678906	0.0014284664753977
candidate division WWE3	559	30.8167	0.002707928718402735	0.001102969678344023
candidate division Zixibacteria	5868	277.1258	0.028425985187097044	0.009918691958802536
Candidatus Abawacabacteria	57	4.1757	2.761215330034989e-4	1.4945372106231806e-4
Candidatus Adlerbacteria	11	0.4663	5.328661163225417e-5	1.6689482034475394e-5
Candidatus Aenigmarchaeota	65	3.3815	3.14875432372411e-4	1.210282725704022e-4
Candidatus Aerophobetes	14	0.5151	6.781932389559621e-5	1.843609735354552e-5
Candidatus Altiarchaeota	773	38.6793	0.003744595526521134	0.0013843823342399402
Candidatus Amesbacteria	82	6.2156	3.9722746853134935e-4	2.2246438887730058e-4
Candidatus Aminicenantes	4017	189.8381	0.019459301720615	0.006794551918097669
Candidatus Andersenbacteria	60	3.0028	2.906542452668409e-4	1.0747410819884778e-4
Candidatus Atribacteria	792	42.3027	0.0038366360375223	0.0015140685216808972
Candidatus Azambacteria	62	4.5916	3.00342720109069e-4	1.6433932170168824e-4
Candidatus Bathyarchaeota	3815	250.4665	0.01848076576154997	0.008964521020776177
Candidatus Beckwithbacteria	120	6.2269	5.813084905336818e-4	2.2286883053929837e-4
Candidatus Berkelbacteria	76	4.1327	3.681620440046652e-4	1.479146952688751e-4
Candidatus Bipolaricaulota	356	19.071	0.0017245485219165898	6.825758350407039e-4
Candidatus Blackburnbacteria	24	2.1383	1.1626169810673639e-4	7.653253149114033e-5
Candidatus Brennerbacteria	8	0.468	3.875389936891213e-5	1.6750327240262676e-5
Candidatus Buchananbacteria	166	9.3843	8.041434119049266e-4	3.3587627333503633e-4
Candidatus Campbellbacteria	109	47.4371	5.280218789014277e-4	0.0016978353596774883
Candidatus Cerribacteria	10	0.3034	4.844237421114016e-5	1.0859079668153196e-5
Candidatus Chisholmbacteria	45	1.9665	2.179906839501307e-4	7.038358657687296e-5
Candidatus Cloacimonetes	2613	153.2443	0.012657992381370924	0.005484812334839713
Candidatus Coatesbacteria	84	3.7409	4.069159433735773e-4	1.3389166489978342e-4
Candidatus Collierbacteria	59	3.7033	2.8581000784572695e-4	1.325459121129589e-4
Candidatus Colwellbacteria	34	2.2352	1.6470407231787654e-4	8.000070822101523e-5
Candidatus Curtissbacteria	65	3.4508	3.14875432372411e-4	1.2350860948867186e-4
Candidatus Dadabacteria	671	37.0292	0.0032504833095675046	0.0013253231141990057
