phylum	cds	rpkm	cds_relative	rpkm_relative
Abditibacteriota	56	3.047	2.884360625840327e-4	1.2608113225581917e-4
Acidobacteria	43832	2921.3193	0.22576302669970222	0.12088061864941814
Actinobacteria	444926	55212.30820000001	2.2916554210939886	2.284617765773958
Annelida	496	45.9229	0.002554719411458576	0.0019002334192552536
Apicomplexa	107	18.0973	5.511189052944911e-4	7.488441334995853e-4
Aquificae	188	32.5794	9.683210672463956e-4	0.0013480957138875074
Armatimonadetes	4444	387.116	0.022889461823632884	0.016018386476647092
Arthropoda	3298	816.5774	0.016986823828609644	0.03378897379931505
Artverviricota	5	0.2783	2.5753219873574353e-5	1.1515713523726444e-5
Ascomycota	3354	359.211	0.017275259891193676	0.014863711716030544
Bacillariophyta	243702	23336.1536	1.2552222379259634	0.965621486177785
Bacteroidetes	1187188	77090.55710000003	6.114782719053798	3.189912939087589
Balneolaeota	2025	111.9854	0.010430054048797613	0.0046338188474305255
Basidiomycota	1301	265.8407	0.006700987811104047	0.011000162932615541
Blastocladiomycota	22	1.0965	1.1331416744372716e-4	4.537182852592902e-5
Brachiopoda	241	42.4848	0.0012413051979062839	0.0017579690474768712
Caldiserica	18	1.6787	9.271159154486767e-5	6.946255225396903e-5
Calditrichaeota	2059	106.2271	0.010605175943937919	0.004395547438218617
candidate division CPR1	36	3.3399	1.8542318308973534e-4	1.3820097591769298e-4
candidate division CPR2	26	1.4806	1.3391674334258663e-4	6.126541661239443e-5
candidate division CPR3	62	3.2156	3.19339926432322e-4	1.3305759398812343e-4
candidate division KD3-62	69	4.9486	3.5539443425532607e-4	2.0476701381068156e-4
candidate division NC10	731	45.4001	0.0037651207455165706	0.0018786005948563886
candidate division WOR-3	354	17.4137	0.0018233279670490643	7.205576018257821e-4
candidate division WWE3	358	41.5411	0.0018439305429479237	0.0017189198960131963
candidate division Zixibacteria	2385	177.93280000000001	0.012284285879694967	0.007362641578420814
Candidatus Abawacabacteria	45	3.0939	2.317789788621692e-4	1.2802179687767607e-4
Candidatus Adlerbacteria	17	1.5914	8.75609475701528e-5	6.585018505806059e-5
Candidatus Aenigmarchaeota	33	1.633	1.6997125116559073e-4	6.757154216401467e-5
Candidatus Aerophobetes	18	1.2851	9.271159154486767e-5	5.317586578994198e-5
Candidatus Altiarchaeota	374	28.5631	0.0019263408465433614	0.0011819061334874263
Candidatus Amesbacteria	76	16.1161	3.914489420783302e-4	6.668645013285222e-4
Candidatus Aminicenantes	1743	102.5727	0.008977572447928019	0.0042443328370648055
Candidatus Andersenbacteria	23	1.2524	1.1846481141844204e-4	5.1822779795598265e-5
Candidatus Atribacteria	359	23.7685	0.0018490811869226386	9.835114512709018e-4
Candidatus Azambacteria	47	5.0797	2.420802668115989e-4	2.1019177142103201e-4
Candidatus Bathyarchaeota	1711	82.8307	0.008812751840737144	0.003427433029715156
Candidatus Beckwithbacteria	54	2.995	2.78134774634603e-4	1.239294358733766e-4
Candidatus Berkelbacteria	66	4.9977	3.3994250233118146e-4	2.067987117410264e-4
Candidatus Bipolaricaulota	149	10.034	7.674459522325158e-4	4.151946442582506e-4
Candidatus Blackburnbacteria	16	0.8677	8.241030359543793e-5	3.5904364443181586e-5
Candidatus Brennerbacteria	3	0.1031	1.545193192414461e-5	4.266151865958305e-6
Candidatus Buchananbacteria	91	6.2739	4.687086016990533e-4	2.5960630641935805e-4
Candidatus Campbellbacteria	144	11.1637	7.416927323589414e-4	4.61940248166816e-4
Candidatus Cerribacteria	11	0.5162	5.665708372186358e-5	2.135972447340133e-5
Candidatus Chisholmbacteria	17	0.7986	8.75609475701528e-5	3.3045090981128054e-5
Candidatus Cloacimonetes	1141	68.5151	0.005876884775149667	0.002835071015628709
Candidatus Coatesbacteria	34	2.0923	1.751218951403056e-4	8.657681424970478e-5
Candidatus Collierbacteria	44	2.2099	2.2662833488745431e-4	9.144295837615189e-5
Candidatus Colwellbacteria	21	3.2117	1.0816352346901229e-4	1.3289621675944023e-4
Candidatus Curtissbacteria	59	3.5613	3.038879945081774e-4	1.4736223705370818e-4
Candidatus Dadabacteria	540	31.1132	0.00278134774634603	0.001287426151657943
Candidatus Daviesbacteria	123	6.6003	6.335292088899291e-4	2.7311233909684386e-4
Candidatus Delongbacteria	59	3.4394	3.038879945081774e-4	1.423181641879437e-4
Candidatus Desantisbacteria	145	9.6251	7.468433763336563e-4	3.9827486251246634e-4
Candidatus Diapherotrites	35	1.7989	1.802725391150205e-4	7.443628119953827e-5
Candidatus Doudnabacteria	66	4.172	3.3994250233118146e-4	1.7263225591443307e-4
Candidatus Edwardsbacteria	60	6.622	3.0903863848289224e-4	2.740102585487478e-4
Candidatus Eisenbacteria	525	32.515299999999996	0.002704088086725307	0.0013454433343083809
Candidatus Falkowbacteria	1607	97.6777	0.008277084867366797	0.004041783725679104
