COG Functional Category	COG
A	17797
AB	42
ABO	50
AD	75
ADK	688
ADL	248
AI	2
AJ	536
AJV	1
AK	32
AL	60
AO	112
AT	209
ATY	28
AU	1
AV	62
B	6629
BD	1512
BDL	152
BDLT	377
BDLTU	542
BDT	4
BI	1
BK	1367
BKL	79
BKO	34
BL	83
BQ	4425
BT	321
C	571129
CD	13
CDZ	34
CE	7109
CEG	79
CEGO	1
CEH	163
CET	5
CF	259
CG	4378
CGM	40
CGU	3
CH	20018
CHI	51
CHQ	203
CHT	20
CI	2276
CIQ	72
CJ	435
CJQ	547
CK	371
CKT	176
CL	145
CM	139
CMN	1
CMO	1
CMT	2
CNT	1
CNU	1
CO	19822
COP	53
COT	39
COTV	285
CP	10387
CQ	1470
CT	1447
CU	153
D	99025
DE	502
DEGMUZ	19
DEOZ	1
DETZ	32
DEZ	59
DF	6
DFJ	22
DFL	2
DFM	3
DG	3
DGZ	1
DHM	7
DIOT	13
DJ	485
DJL	22
DK	194
DKL	186
DKLT	23
DKLTZ	9
DKMT	5
DKT	243
DL	360
DM	3528
DMNUW	2
DMOTZ	23
DMPZ	24
DMQZ	7
DMUZ	198
DMZ	50
DN	126
DNT	16
DNU	3
DNZ	19
DO	1185
DOTZ	15
DOZ	75
DP	30
DT	965
DTZ	917
DU	166
DUZ	31
DV	21
DY	4
DZ	12550
E	658305
EF	3868
EFG	3
EFGP	3
EFQ	2
EG	36710
EGH	3
EGHP	54
EGIP	10
EGIPQ	16
EGKP	10
EGM	21
EGMP	4
EGO	6
EGP	31152
EGPT	19
EGT	19
EH	33750
EHJ	9
EHP	169
EHQ	1
EI	3427
EIJ	11
EIOV	89
EIP	17
EJ	1665
EJM	13
EK	1615
EKLT	70
EKT	7
EL	141
EM	3276
EMQ	2
EMT	34
EN	141
ENT	6
ENU	1
EO	442
EP	10892
EPT	598
EQ	15296
ET	8280
EU	4276
EUW	36
EV	10
F	198002
FG	2839
FGM	1
FGMQ	80
FGQ	2
FGV	2
FH	575
FIM	4
FJ	3571
FK	1
FKLPT	11
FL	415
FM	192
FO	51
FP	3965
FPT	1
FQ	288
FT	848
G	390589
GH	281
GI	124
GIM	18
GIQ	1
GIV	1
GJ	461
GJM	204
GK	3790
GKLT	7
GKT	12
GL	49
GM	33933
GMN	11
GMNQU	6
GMO	19
GMOU	268
GMPQ	21
GMQ	38
GMU	25
GMV	8
GMW	178
GN	536
GNQ	71
GNT	1
GNU	13
GO	339
GOQ	47
GOT	93
GOU	273
GP	154
GPT	3
GPU	214
GQ	1026
GT	1351
GU	33
GUW	46
GV	264
H	319588
HI	476
HIQ	8
HJ	5299
HJK	9
HJM	397
HJO	328
HK	312
HKLT	3
HKT	43
HL	90
HLP	8
HM	192
HMU	46
HO	27
HP	2068
HPT	2
HQ	944
HT	21
I	301054
IJ	35
IJM	10
IJT	11
IK	279
IKOT	12
IKT	43
IL	16
IM	3177
IMO	130
IMQ	14
IMU	6
IN	24
IO	28
IOQU	3
IOT	190
IP	52
IQ	96357
IQT	3
IT	448
IU	2095
IV	4
IZ	6
J	401229
JK	365
JKL	2647
JL	39
JM	3435
JMQU	34
JMT	1
JMU	148
JO	42
JOU	1
JPQ	10
JQ	89
JT	17
JU	70
JUY	53
K	391162
KL	9778
KLMO	2
KLMT	7
KLNT	2
KLO	160
KLOT	33
KLPT	121
KLT	32168
KLTU	91
KLV	30
KM	189
KMT	551
KMU	1
KNT	123
KNTU	10
KNU	34
KO	1091
KOT	279
KP	73
KQ	958
KT	33252
KTU	112
KTV	3
KU	157
KV	30
KY	3
L	588928
LM	134
LMNU	3
LMU	16
LNT	5
LNU	688
LO	917
LP	21
LQ	3
LT	469
LU	2283
LV	736
M	603332
MN	371
MNO	174
MNOQ	32
MNOU	23
MNQU	4
MNU	278
MO	992
MOP	4
MOQ	278
MOT	238
MOU	4
MOV	58
MOW	2
MP	2001
MPQ	26
MPT	6
MPU	27
MQ	3726
MQU	645
MT	650
MU	17481
MUW	348
MV	333
MW	129
MZ	2
N	48465
NO	123
NOU	1250
NP	34
NPT	30
NPTU	561
NQ	29
NQU	2
NT	16648
NTU	54
NU	44338
NUW	11
O	340799
OP	149
OPTVW	1
OPU	108
OQ	588
OT	1717
OTU	23
OU	8786
OV	49
OW	42
P	436450
PQ	1142
PQU	48
PT	4448
PTVW	1
PU	3
PV	1
Q	250909
QT	619
QU	3694
QUW	40
QV	43
S	1640216
T	344427
TU	688
TUZ	87
TV	305
TW	96
TZ	494
U	162431
UW	5533
UY	1122
UZ	87
V	164120
VW	38
W	413
WZ	1
Y	180
Z	10755
NA	478835
