COG Functional Category	COG
A	44210
AB	136
ABO	95
AD	149
ADK	1157
ADL	475
AEJ	1
AF	2
AH	1
AI	6
AJ	1320
AK	70
AL	166
ALV	1
AO	308
AT	531
ATY	62
AU	1
AV	135
B	12620
BD	2199
BDL	399
BDLT	871
BDLTU	1026
BDT	8
BI	6
BK	3496
BKL	84
BKO	90
BKQ	1
BL	223
BOT	1
BQ	9905
BT	941
C	1421910
CD	28
CDZ	70
CE	14486
CEF	12
CEG	687
CEGO	14
CEH	208
CEK	2
CEP	3
CET	120
CF	724
CG	16322
CGM	51
CGU	3
CH	37745
CHI	101
CHJ	8
CHQ	84
CHT	54
CI	5040
CIQ	115
CJ	1624
CJQ	981
CK	1302
CKT	146
CL	1305
CM	297
CMO	4
CMT	7
CMW	3
CNT	1
CNU	4
CO	46226
COP	73
COT	134
COTV	303
CP	27529
CQ	4092
CT	2471
CU	232
D	208627
DE	551
DEG	1
DEGMUZ	243
DEOZ	26
DETZ	19
DEZ	94
DF	7
DFJ	15
DFL	6
DFM	5
DG	19
DGMZ	2
DHM	18
DHO	1
DIOT	11
DIZ	1
DJ	1097
DJL	37
DJO	2
DK	450
DKL	455
DKLT	79
DKLTZ	27
DKMT	16
DKT	641
DL	684
DM	7944
DMNUW	6
DMO	3
DMOTZ	13
DMPZ	10
DMQZ	19
DMUZ	434
DMZ	46
DN	215
DNT	39
DNU	8
DNZ	34
DO	3021
DOT	1
DOTZ	16
DOZ	213
DP	66
DT	2680
DTUZ	5
DTZ	2610
DU	364
DUZ	95
DV	43
DY	17
DZ	26487
E	1407948
EF	7306
EFG	2
EFGP	12
EFQ	33
EG	65080
EGH	59
EGHP	115
EGIP	110
EGIPQ	10
EGKLT	8
EGKP	6
EGM	52
EGMP	27
EGN	11
EGO	5
EGP	66803
EGPQ	5
EGPT	84
EGT	25
EH	68480
EHJ	22
EHP	377
EI	7581
EIJ	18
EIOV	205
EIP	27
EIQ	1
EJ	3780
EJM	35
EJN	2
EK	3420
EKLT	50
EKT	77
EL	189
ELM	3
EM	8365
EMQ	3
EMT	125
EN	189
ENT	26
ENU	9
EO	1449
EP	23316
EPT	2203
EQ	33034
EQT	5
ET	16793
EU	13905
EUW	46
EV	41
F	430683
FG	6072
FGMQ	909
FGQ	6
FGV	91
FH	1018
FI	4
FIM	59
FJ	7456
FK	6
FKLPT	5
FL	1024
FM	222
FO	81
FP	7862
FPT	4
FQ	587
FT	2270
FV	2
G	919111
GH	508
GHM	2
GI	196
GIM	91
GIQ	1
GIV	15
GJ	273
GJM	289
GK	9054
GKLMT	1
GKLT	14
GKT	88
GL	153
GM	76264
GMN	34
GMNQU	11
GMO	65
GMOU	671
GMPQ	62
GMQ	97
GMT	2
GMU	35
GMV	7
GMW	430
GN	988
GNQ	231
GNU	2
GO	947
GOQ	92
GOT	430
GOU	539
GP	914
GPT	27
GPU	281
GQ	2199
GT	4176
GU	30
GUW	95
GV	303
H	695496
HI	827
HIQ	34
HJ	12786
HJK	96
HJM	1054
HJO	471
HK	833
HKLT	5
HKT	35
HL	288
HLP	6
HM	354
HMU	165
HO	64
HP	4800
HPT	23
HQ	1827
HT	22
I	670562
IJ	228
IJM	45
IJT	57
IK	651
IKOT	15
IKT	110
IL	29
IM	7642
IMO	355
IMQ	28
IMU	11
IMV	5
IN	83
IO	55
IOQU	6
IOT	513
IOTU	1
IOTUV	1
IP	241
IQ	223721
IQT	6
IT	2036
IU	5959
IV	16
IZ	17
J	834496
JK	730
JKL	6008
JL	202
JM	7403
JMQU	59
JMT	2
JMU	136
JO	65
JOT	1
JOU	6
JP	7
JPQ	44
JQ	207
JT	58
JU	111
JUY	137
K	827430
KL	20307
KLMO	3
KLMT	25
KLNT	23
KLNTU	9
KLO	461
KLOT	169
KLPT	236
KLT	125522
KLTU	1460
KLTV	12
KLV	41
KM	218
KMO	5
KMT	770
KMTU	1
KMU	8
KNT	319
KNTU	50
KNU	119
KO	2621
KOT	1039
KP	304
KPT	2
KQ	2017
KQT	1
KT	71491
KTU	441
KTV	10
KU	703
KV	26
KY	4
L	1184521
LM	354
LMNU	10
LMU	16
LN	3
LNT	21
LNU	373
LO	1741
LP	25
LQ	28
LT	1043
LU	4824
LV	1126
M	1298722
MN	488
MNO	386
MNOQ	86
MNOU	63
MNQU	28
MNU	427
MO	2218
MOP	59
MOQ	638
MOT	393
MOU	10
MOV	28
MOW	2
MP	3612
MPQ	30
MPT	21
MPU	54
MQ	7040
MQU	1456
MT	1261
MTU	1
MTVW	2
MTZ	2
MU	44234
MUV	1
MUW	452
MV	989
MW	357
MZ	11
N	116355
NO	204
NOU	3782
NP	83
NPT	129
NPTU	1090
NPU	2
NQ	84
NQU	4
NT	37642
NTU	307
NTZ	1
NU	124624
NUW	15
O	751846
OP	460
OPT	4
OPTVW	29
OPU	252
OQ	1432
OT	4346
OTU	97
OU	17106
OV	77
OW	66
OZ	1
P	1076772
PQ	3087
PQU	58
PQV	6
PT	14385
PTVW	6
PU	15
PV	5
PZ	1
Q	563189
QT	1033
QU	11421
QUW	166
QV	99
S	3641187
T	818715
TU	2216
TUZ	246
TV	966
TW	425
TZ	1368
U	345129
UW	10653
UY	3208
UZ	330
V	401030
VW	199
W	1775
WZ	1
Y	430
Z	30428
NA	1042068
